,ID,Timestamp,Age,Primary streaming service,Primary streaming service Indicator,Hours per day,While working,While working Indicator,Instrumentalist,Instrumentalist Indicator,Composer,Composer Indicator,Fav genre,Fav genre Indicator,Exploratory,Exploratory Indicator,Foreign languages,Foreign languages Indicator,BPM,Frequency [Classical],Classical F Indicator,Frequency [Country],Country F Indicator,Frequency [EDM],EDM F Indicator,Frequency [Folk],Folk F Indicator,Frequency [Gospel],Gospel F Indicator,Frequency [Hip hop],Hip hop F Indicator,Frequency [Jazz],Jazz F Indicator,Frequency [K pop],K pop F Indicator,Frequency [Latin],Latin F Indicator,Frequency [Lofi],Lofi F Indicator,Frequency [Metal],Metal F Indicator,Frequency [Pop],Pop F Indicator,Frequency [R&B],R&B F Indicator,Frequency [Rap],Rap F Indicator,Frequency [Rock],Rock F Indicator,Frequency [Video game music],Video game music F Indicator,Anxiety,Depression,Insomnia,OCD,Music effects,Music Effects Number,Permissions,spec_cluster_habits,spec_cluster_mental,spec_cluster_all,prim_habits_cluster,prim_mental_cluster,prim_all_cluster,gmm_cluster_habits,gmm_cluster_mental,gmm_cluster_all,fcm_habits,fcm_mental,fcm_all,kmeans_habits,kmeans_mental,kmeans_all,spec_kmodes_habits,spec_kmodes_genre,spec_kmodes_all,SVD_habits,SVD_mental,SVD_all,PCA_habits,PCA_mental,PCA_all,ICA_habits,ICA_mental,ICA_all,MDS_habits,MDS_mental,MDS_all,t-SNE1,t-SNE2
82,253,8/28/2022 23:47:13,23.0,Other streaming service,5,6.0,Yes,1.0,No,0.0,No,0.0,Rap,11,Yes,1,Yes,1.0,87.0,Never,0,Never,0,Sometimes,2,Sometimes,2,Never,0,Rarely,1,Never,0,Sometimes,2,Sometimes,2,Never,0,Never,0,Very frequently,3,Very frequently,3,Sometimes,2,Rarely,1,Never,0,3.0,1.0,2.0,7.0,Improve,1.0,I understand.,2,0,3,0,0,1,0,2,0,3,1,1,2,3,2,3,0,3,"(0.9475851931574368, -1.1424536074732812)","(-0.8936836593125214, 1.9593658440493835)","(-0.6990633528060285, -0.8743817985257575)","(0.9475851931574376, -1.1424536074732772)","(-0.8936836593125214, 1.9593658440493824)","(-0.6990633528060285, -0.8743817985257575)","(0.9163710893564488, -1.0703591313752598)","(-1.8141310483728275, 1.3012113941565056)","(0.798136663806559, -0.579653757862121)","(-1.5653194143085172, 0.37558245799938184)","(1.8473570455492183, 1.555493304253701)","(2.1614408794128948, 1.735077178242358)",-13.2487335,-7.4888277
83,399,8/29/2022 20:12:32,15.0,Spotify,2,5.0,Yes,1.0,No,0.0,No,0.0,Folk,14,Yes,1,Yes,1.0,87.0,Rarely,1,Sometimes,2,Never,0,Very frequently,3,Rarely,1,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,Rarely,1,Rarely,1,6.0,7.0,7.0,4.0,Improve,1.0,I understand.,2,3,2,0,1,0,0,2,0,3,0,2,2,0,0,3,3,1,"(0.9114426433350482, -0.9569605803607931)","(1.1188212640475692, -0.22523876518291178)","(1.2790243068787572, -0.6102866913530663)","(0.9114426433350493, -0.9569605803607822)","(1.1188212640475692, -0.2252387651829128)","(1.2790243068787572, -0.6102866913530663)","(0.8702893994362181, -0.8884685583931725)","(0.7752096108997479, 0.2917526529257885)","(-0.5544885585436257, -0.9143915638777913)","(-1.481269069463533, 0.3368472642545616)","(-1.2631439288714181, 0.4482558697126149)","(-0.7790727573241091, 1.585578474729574)",15.767045,4.9401593
84,14,8/27/2022 23:12:03,19.0,Spotify,2,2.0,Yes,1.0,No,0.0,No,0.0,Country,7,Yes,1,No,0.0,88.0,Never,0,Very frequently,3,Rarely,1,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Rarely,1,Never,0,Rarely,1,Never,0,Very frequently,3,Never,0,Never,0,2.0,1.0,2.0,0.0,Improve,1.0,I understand.,2,0,3,0,2,1,0,3,3,1,1,1,2,3,2,1,0,0,"(0.15411283780248347, -1.0172182737857227)","(-2.102443464594323, -0.16163725229963588)","(-2.0665981560291553, -1.0001272742257528)","(0.15411283780248716, -1.0172182737857138)","(-2.1024434645943226, -0.1616372522996363)","(-2.0665981560291553, -1.0001272742257528)","(0.2142385679294056, -1.0004978695331943)","(-1.0639798167977124, -1.0525518421689686)","(1.7099694116690445, -0.29744777654119287)","(-0.77005844241316, 0.8013472630824415)","(1.9870238446131125, -1.032649314204712)","(2.3714943062491236, -0.7030191149810471)",-22.291843,-5.3697796
85,477,09/01/2022 17:17,70.0,I do not use a streaming service.,6,2.0,Yes,1.0,No,0.0,No,0.0,Country,7,No,0,No,0.0,88.0,Sometimes,2,Very frequently,3,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,8.0,5.0,6.0,1.0,Improve,1.0,I understand.,1,1,1,1,3,2,2,0,1,1,0,3,1,0,1,2,0,0,"(-1.0276436882625033, -2.197766074341903)","(0.5775599522774535, -0.728331003835493)","(-0.3477268732549864, 2.103680279067186)","(-1.0276436882624962, -2.197766074341935)","(0.5775599522774537, -0.7283310038354927)","(-0.3477268732549864, 2.103680279067186)","(-0.7242709370077999, -2.25530357360475)","(0.8111815560995588, -0.37711147038124426)","(-0.6434457431319304, 1.980192316004494)","(-0.5401678752513248, 4.009960798113482)","(-0.894718501739719, -0.2840356406557642)","(2.911237551360156, 3.151929171639367)",-23.13332,27.614914
86,37,8/28/2022 11:25:49,21.0,Spotify,2,4.0,Yes,1.0,No,0.0,No,0.0,Pop,10,No,0,Yes,1.0,89.0,Never,0,Never,0,Rarely,1,Never,0,Never,0,Sometimes,2,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Very frequently,3,Never,0,Rarely,1,Never,0,Never,0,6.0,8.0,0.0,2.0,Improve,1.0,I understand.,2,1,0,0,0,0,0,1,2,1,3,3,2,1,3,3,1,0,"(0.5507070381412628, -1.0327252670209444)","(-0.04099911197506618, -0.21764318481125725)","(0.018188734333335673, -1.060402155592406)","(0.550707038141265, -1.032725267020938)","(-0.0409991119750661, -0.21764318481125583)","(0.018188734333335673, -1.060402155592406)","(0.5614863665602692, -0.988610642230608)","(0.12328406877397778, -0.20546126295639502)","(0.4231646658490711, -0.9528306190944092)","(-1.0643991766605685, 0.5341430337927963)","(-0.21025544883239478, -0.9777523796330402)","(0.7183684352879172, 1.0683479385167172)",1.395862,3.892384
87,235,8/28/2022 22:39:24,30.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,Folk,14,Yes,1,Yes,1.0,89.0,Sometimes,2,Rarely,1,Never,0,Very frequently,3,Rarely,1,Never,0,Rarely,1,Never,0,Never,0,Sometimes,2,Sometimes,2,Rarely,1,Never,0,Never,0,Very frequently,3,Never,0,9.0,0.0,5.0,0.0,No effect,0.0,I understand.,2,0,0,0,3,1,2,3,1,3,3,3,2,1,2,3,0,0,"(0.7851940139126068, -1.2416753486205623)","(-0.4210605499800881, -0.24644756162292347)","(-0.39304783689496325, 0.06279034422247096)","(0.785194013912608, -1.241675348620564)","(-0.42106054998008746, -0.24644756162292233)","(-0.39304783689496325, 0.06279034422247096)","(0.7824647764901511, -1.1801635543026088)","(-0.06933162095968899, -0.39537461226347975)","(0.22152586849861525, 0.169515453510625)","(-1.561268913777675, 0.605575419654967)","(-0.16859163997194263, -2.0590174384649482)","(0.04269020426779865, -2.257868474947885)",-13.28616,9.81592
88,387,8/29/2022 18:09:17,17.0,Other streaming service,5,0.0,No,0.0,No,0.0,No,0.0,Video game music,3,No,0,Yes,1.0,89.0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very frequently,3,Never,0,Never,0,Never,0,Never,0,Never,0,Very frequently,3,10.0,0.0,0.0,0.0,No effect,0.0,I understand.,0,0,3,2,0,1,3,3,2,0,3,1,3,1,2,2,0,0,"(-1.9340460872229457, -0.6728805708383528)","(-0.9717746361579498, 0.2979197778569923)","(-1.0645957823774037, -2.005253734889632)","(-1.9340460872229457, -0.6728805708383417)","(-0.9717746361579489, 0.2979197778569952)","(-1.0645957823774037, -2.005253734889632)","(-1.6347013636603653, -0.8019752318307991)","(-0.7420084111686371, -0.16521751851212155)","(1.4915767277929182, -1.484742098779814)","(2.0218296330741747, 1.486996757359796)","(1.173691546886948, -2.3056626890366303)","(2.6245774928046637, 1.5585988412627507)",-14.418435,0.53461975
89,435,8/31/2022 8:35:00,39.0,Spotify,2,1.0,Yes,1.0,No,0.0,No,0.0,Hip hop,9,Yes,1,Yes,1.0,89.0,Never,0,Rarely,1,Rarely,1,Sometimes,2,Never,0,Very frequently,3,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Sometimes,2,Very frequently,3,Sometimes,2,Very frequently,3,Very frequently,3,Never,0,6.0,4.0,1.0,1.0,Improve,1.0,I understand.,1,0,0,0,0,1,2,1,1,1,3,1,2,1,2,3,1,1,"(-0.5309318680853039, -1.4484620214356287)","(-0.7591167721159904, -0.09462686256492937)","(-1.163124109401217, -0.2861545104039305)","(-0.5309318680852982, -1.4484620214356354)","(-0.75911677211599, -0.09462686256492818)","(-1.163124109401217, -0.2861545104039305)","(-0.3496488837369454, -1.4763083266373915)","(-0.35981234285620467, -0.4113069747367693)","(0.8489848263860957, 0.07988502021948991)","(-0.2963550793799965, 1.7800760355094314)","(0.6822073896194253, -0.28746421203081524)","(1.843743239220753, 0.5819131659369252)",-5.6148853,12.383296
90,573,09/04/2022 21:29,18.0,Spotify,2,3.0,Yes,1.0,No,0.32103825136612024,No,0.0,Video game music,3,Yes,1,Yes,1.0,89.0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Rarely,1,Never,0,Very frequently,3,Never,0,Rarely,1,Sometimes,2,Never,0,Never,0,Very frequently,3,7.0,0.0,3.0,1.0,No effect,0.0,I understand.,2,0,3,0,0,1,0,1,3,1,3,1,2,1,2,3,0,0,"(0.3987060053713264, -0.9629722203551406)","(-0.9812959211628781, 0.2377226654558643)","(-0.9087431705796314, -1.1583116270136755)","(0.3987060053713293, -0.9629722203551314)","(-0.9812959211628774, 0.23772266545586515)","(-0.9087431705796314, -1.1583116270136755)","(0.4233939408618809, -0.9297402363143593)","(-0.7068955628771603, -0.22125541889817507)","(1.0464120590093338, -0.7728767627161054)","(-0.9394971595350469, 0.6080717426546419)","(1.4474702831010542, 0.4057393338304455)","(1.7053990835927726, 0.5793561623573981)",-14.990992,3.3190105
91,690,9/24/2022 10:25:15,20.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,R&B,5,Yes,1,Yes,1.0,89.0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Never,0,Rarely,1,4.0,1.0,1.0,0.0,Improve,1.0,I understand.,2,0,3,0,2,1,0,3,2,3,1,1,2,3,2,3,1,3,"(1.0169109798077023, -1.0101953877271936)","(-1.8497135665448405, -0.026872093211838925)","(-1.5878815231548453, -0.7155206602735417)","(1.016910979807703, -1.0101953877271874)","(-1.8497135665448399, -0.02687209321183836)","(-1.5878815231548453, -0.7155206602735417)","(0.9664862480464659, -0.9341232201709311)","(-1.0135296451388376, -0.8265842581664578)","(1.2921695706855367, -0.1812448267606839)","(-1.55688786180761, 0.24843673563337468)","(1.7960702175830847, -0.6209139456153513)","(2.218692816192139, -0.3203195924846286)",-27.065502,-7.8935003
92,50,8/28/2022 12:32:09,19.0,Spotify,2,3.0,Yes,1.0,No,0.0,No,0.0,Pop,10,No,0,Yes,1.0,90.0,Sometimes,2,Rarely,1,Sometimes,2,Never,0,Never,0,Very frequently,3,Sometimes,2,Rarely,1,Never,0,Sometimes,2,Rarely,1,Very frequently,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,7.0,4.0,2.0,4.0,No effect,0.0,I understand.,2,0,0,0,0,0,0,0,2,1,3,3,2,1,2,3,2,1,"(0.3754396572226853, -0.9547131007054389)","(0.02458283964823473, 0.716597435628016)","(0.05575936677276306, -1.3100963355742474)","(0.37543965722268813, -0.9547131007054306)","(0.024582839648234975, 0.7165974356280167)","(0.05575936677276306, -1.3100963355742474)","(0.4024461523178107, -0.9231323642451142)","(-0.46749085704632226, 0.6285327786176935)","(0.5018669588553542, -1.1867992576211066)","(-0.8926179973849762, 0.5979022429426454)","(0.30625687633702625, 0.6881511736753925)","(0.6105683634638114, 0.9621120357444702)",-2.3211515,0.9335432
93,81,8/28/2022 14:12:55,19.0,Spotify,2,5.0,No,0.0,Yes,1.0,Yes,1.0,Rock,2,Yes,1,Yes,1.0,90.0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Sometimes,2,Very frequently,3,Never,0,Very frequently,3,Rarely,1,Sometimes,2,Rarely,1,Sometimes,2,Rarely,1,Very frequently,3,Rarely,1,10.0,8.0,7.0,0.0,Improve,1.0,I understand.,0,1,0,2,3,0,3,3,3,0,0,2,3,0,3,0,3,1,"(-0.8729035192687715, -0.6893147392669534)","(1.5308576538589158, -1.5039734789261778)","(1.5974806650000037, -0.24826951941209902)","(-0.8729035192687754, -0.6893147392669462)","(1.5308576538589158, -1.503973478926177)","(1.5974806650000037, -0.24826951941209902)","(-0.7075569635336539, -0.7452629215584488)","(1.863679869967844, -0.6318151841870728)","(-0.9031978387786499, -0.6827743235355486)","(1.457025506665976, 1.5806970589025486)","(-2.2725865607711175, -0.5904329826616806)","(-2.1706924348315018, 1.0147316809808375)",10.038303,-0.07948975
94,233,8/28/2022 22:32:47,35.0,Spotify,2,4.0,Yes,1.0,Yes,1.0,Yes,1.0,Country,7,Yes,1,Yes,1.0,90.0,Rarely,1,Very frequently,3,Rarely,1,Sometimes,2,Rarely,1,Very frequently,3,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,Very frequently,3,Never,0,9.0,9.0,5.0,1.0,Improve,1.0,I understand.,2,1,0,0,3,0,2,0,3,3,0,2,2,0,3,0,3,1,"(0.22620863432899752, -1.325390096532622)","(1.3533930150194249, -1.1379085994067197)","(1.1083675383246545, 0.3061432117797072)","(0.2262086343290006, -1.3253900965326268)","(1.3533930150194247, -1.1379085994067186)","(1.1083675383246545, 0.3061432117797072)","(0.3013106649929896, -1.3018552045325438)","(1.5188935593520048, -0.393272465217373)","(-0.8227306708734776, -0.04622413863026805)","(-0.8040819613074537, 1.2675412186691013)","(-1.8257504922443635, -0.4156545448436593)","(-1.114389678321967, 1.5891274759134744)",8.832729,2.7016256
95,302,8/29/2022 3:32:43,22.0,Spotify,2,3.0,Yes,1.0,Yes,1.0,Yes,1.0,Rock,2,Yes,1,Yes,1.0,90.0,Never,0,Very frequently,3,Rarely,1,Sometimes,2,Never,0,Rarely,1,Sometimes,2,Never,0,Very frequently,3,Never,0,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,Very frequently,3,Never,0,10.0,10.0,4.0,0.0,Improve,1.0,I understand.,2,1,0,0,0,0,0,3,3,1,0,2,2,0,3,0,3,2,"(0.3059245674541567, -1.0241570889734495)","(1.4418211892048292, -1.4509628798561742)","(1.346193544425229, -0.6202955445762885)","(0.3059245674541597, -1.0241570889734437)","(1.4418211892048292, -1.4509628798561724)","(1.346193544425229, -0.6202955445762885)","(0.34723971085091626, -0.9969444644846175)","(1.778427737767002, -0.6247816709807023)","(-0.5926415893402207, -0.9427157948123476)","(-0.8278548590129142, 0.6655120448047778)","(-2.280408718070474, -0.9656496719135379)","(-1.9424522195927447, 1.1964407702287754)",7.7193894,0.48903432
96,348,8/29/2022 9:42:23,18.0,Spotify,2,16.0,Yes,1.0,No,0.0,Yes,1.0,Jazz,4,Yes,1,Yes,1.0,90.0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Rarely,1,3.0,2.0,5.0,6.0,Improve,1.0,I understand.,2,3,2,3,1,3,0,2,0,3,1,2,0,3,0,0,3,3,"(3.278320946812239, -0.9355828637874121)","(-0.40500340677205615, 1.2079408374391283)","(0.46631100455212265, 0.4568752610026094)","(3.278320946812232, -0.935582863787409)","(-0.4050034067720562, 1.2079408374391263)","(0.46631100455212265, 0.4568752610026094)","(2.933733572622116, -0.7042863046296368)","(-1.0370093855351905, 0.8655836061418409)","(-0.4806001289666435, 0.2737227751801721)","(-4.283924397120147, -1.1315402837011552)","(1.220219369725086, 1.4252005709940458)","(1.6710957594186036, 4.563930218915539)",29.566687,-16.067884
97,600,09/08/2022 21:30,18.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,EDM,8,Yes,1,Yes,1.0,90.0,Rarely,1,Never,0,Very frequently,3,Never,0,Never,0,Sometimes,2,Rarely,1,Very frequently,3,Very frequently,3,Very frequently,3,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Rarely,1,Sometimes,2,0.0,2.0,1.0,5.0,Improve,1.0,I understand.,2,0,3,0,0,1,0,2,2,3,1,1,2,3,2,3,1,3,"(1.0631597214275896, -0.9324922798094814)","(-1.755519847206777, 1.2878289258533255)","(-1.4443214416573464, -0.9192093984364065)","(1.0631597214275903, -0.9324922798094736)","(-1.755519847206777, 1.2878289258533238)","(-1.4443214416573464, -0.9192093984364065)","(1.00074490096929, -0.8537032478621827)","(-1.8438299719485247, 0.3478728005204529)","(1.2853400972110158, -0.4046836816456677)","(-1.5727369258157207, 0.1802947302537109)","(2.665143088549622, 0.5927432192894633)","(2.92324847754438, 0.7213012584361626)",-14.86118,-7.6692214
98,605,09/09/2022 11:25,18.0,Spotify,2,2.0,Yes,1.0,Yes,1.0,No,0.0,Hip hop,9,Yes,1,No,0.0,90.0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Very frequently,3,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Sometimes,2,Very frequently,3,Very frequently,3,Never,0,Never,0,5.0,4.0,3.0,7.0,Improve,1.0,I understand.,2,3,2,0,1,0,0,2,0,1,2,3,2,2,0,1,0,0,"(0.1770952312737299, -0.931256046218309)","(0.2034945926040352, 1.4846689151679384)","(0.190434153723664, -1.4521102560580827)","(0.17709523127373342, -0.9312560462182995)","(0.20349459260403524, 1.4846689151679378)","(0.190434153723664, -1.4521102560580827)","(0.22754943230815952, -0.913470025155201)","(-0.8834785874042144, 1.368478923218424)","(0.47534960391801256, -1.3525614096812408)","(-0.7538527761845008, 0.7342085460965839)","(0.4151962528431299, 1.544846050726256)","(0.79049956091955, 1.7373386884431121)",-1.9474155,-0.8070974
99,620,09/12/2022 13:33,26.0,Spotify,2,3.0,Yes,1.0,Yes,1.0,Yes,1.0,Jazz,4,Yes,1,Yes,1.0,90.0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Never,0,Sometimes,2,Very frequently,3,Never,0,Sometimes,2,Rarely,1,Very frequently,3,Rarely,1,Sometimes,2,Rarely,1,Very frequently,3,Rarely,1,6.0,8.0,0.0,0.0,Improve,1.0,I understand.,2,1,0,0,0,0,2,3,3,1,3,3,2,1,3,0,2,1,"(0.21323778109611852, -1.116749073330797)","(-0.3287602126452548, -0.8195342772297368)","(-0.4094227534978728, -0.7375775583925469)","(0.21323778109612176, -1.1167490733307943)","(-0.3287602126452546, -0.8195342772297352)","(-0.4094227534978728, -0.7375775583925469)","(0.2736311222283903, -1.0953605981372885)","(0.3669757745733225, -0.8494037486918894)","(0.5598587042462665, -0.5409741672083755)","(-0.7422959599799556, 0.8120844866475999)","(-0.19752636250117386, -1.5583792597799448)","(1.1462734733101618, 0.8198031024240989)",0.85759056,3.9321086
100,698,9/29/2022 17:54:15,16.0,Spotify,2,3.0,No,0.0,Yes,1.0,No,0.0,Rock,2,Yes,1,Yes,1.0,90.0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,Very frequently,3,Never,0,7.0,3.5,3.5,5.5,Improve,1.0,I understand.,0,3,2,2,1,0,3,2,0,0,2,0,3,2,0,0,0,1,"(-1.2464206745771726, -0.6192526342033566)","(0.3755092871814983, 1.0752656451850384)","(0.44403825639137573, -1.4073845253600046)","(-1.246420674577175, -0.6192526342033462)","(0.37550928718149845, 1.0752656451850384)","(0.44403825639137573, -1.4073845253600046)","(-1.0389482563973247, -0.7013342099654546)","(-0.5126296240058893, 1.0902023809927044)","(0.29748014221120883, -1.3857662447853458)","(1.6624383459053482, 1.3926898841286106)","(0.11760545350501822, 1.1613623295634377)","(0.41795762638825046, 1.4458610573551027)",-2.6265016,0.0011991124
101,710,10/04/2022 0:48,35.0,Spotify,2,4.0,Yes,1.0,Yes,1.0,Yes,1.0,Hip hop,9,Yes,1,No,0.0,90.0,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Never,0,Very frequently,3,Very frequently,3,Never,0,Sometimes,2,Very frequently,3,Rarely,1,Very frequently,3,Very frequently,3,Very frequently,3,Sometimes,2,Very frequently,3,7.0,8.0,6.0,5.0,Improve,1.0,I understand.,2,3,2,0,1,0,2,2,0,3,2,2,2,2,0,0,2,2,"(0.22620863432899752, -1.325390096532622)","(1.4950105389031623, 0.06359804678611328)","(1.2565001074783362, 0.2370702596331963)","(0.2262086343290006, -1.3253900965326268)","(1.4950105389031618, 0.06359804678611272)","(1.2565001074783362, 0.2370702596331963)","(0.3013106649929896, -1.3018552045325438)","(0.7910520835153997, 0.7041859328979537)","(-0.8876090485969609, -0.15068869655798234)","(-0.8040819613074537, 1.267541218669101)","(-1.3958934853191078, 0.8361243765200083)","(-0.6372720885264774, 1.9181493255431084)",16.000956,9.591862
102,727,10/23/2022 20:50:27,18.0,Apple Music,1,18.0,Yes,1.0,No,0.0,No,0.0,EDM,8,Yes,1,No,0.0,90.0,Sometimes,2,Rarely,1,Very frequently,3,Never,0,Rarely,1,Sometimes,2,Sometimes,2,Never,0,Never,0,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,9.0,8.0,5.0,10.0,Improve,1.0,I understand.,2,3,2,3,1,3,0,2,0,3,2,2,0,2,0,1,2,1,"(3.7213531918891687, -0.9362009805829983)","(2.467143188628116, 1.703090936920109)","(3.363469366980664, 0.2527202473138405)","(3.7213531918891603, -0.9362009805829961)","(2.4671431886281154, 1.7030909369201086)","(3.363469366980664, 0.2527202473138405)","(3.3203313069526814, -0.6744029159831276)","(0.2322729906759132, 2.5400097312392007)","(-2.2194862800800186, -0.7446248043049456)","(-4.866621837627051, -1.371397746325617)","(-1.6657089170224835, 2.6648184118703915)","(-4.041431989109563, 4.481739477363572)",31.969252,-12.729448
103,57,8/28/2022 13:05:46,18.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,Rock,2,Yes,1,No,0.0,91.0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very frequently,3,Rarely,1,Never,0,Sometimes,2,Very frequently,3,Never,0,8.0,6.0,2.0,10.0,No effect,0.0,I understand.,2,3,2,0,1,0,0,2,0,3,2,2,2,2,0,2,0,0,"(1.063065069868458, -0.9010851640704427)","(1.451811653409257, 2.2716757448804543)","(1.6529627889490295, -1.4266083577416677)","(1.0630650698684587, -0.9010851640704352)","(1.451811653409257, 2.2716757448804543)","(1.6529627889490295, -1.4266083577416677)","(0.9981992595808513, -0.8224913423797697)","(-0.7157804505636834, 2.5892427507817226)","(-0.4551574181256132, -1.7517541843737117)","(-1.5540324077514454, 0.15561789031869647)","(-0.3155435866383387, 2.842761741933038)","(-0.3866705073198195, 3.2673214294919926)",40.697033,0.70317507
104,65,8/28/2022 13:42:20,32.0,Spotify,2,5.0,Yes,1.0,No,0.0,No,0.0,Rock,2,No,0,Yes,1.0,91.0,Sometimes,2,Never,0,Rarely,1,Sometimes,2,Never,0,Sometimes,2,Rarely,1,Rarely,1,Never,0,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Rarely,1,Very frequently,3,Never,0,10.0,10.0,3.0,1.0,Worsen,-1.0,I understand.,2,1,0,0,0,0,2,0,3,3,0,2,2,0,3,2,3,1,"(0.5171451950768596, -1.224848050923366)","(1.4352397317171226, -1.0440207203278196)","(1.3058350405912449, -0.012233422094218292)","(0.5171451950768615, -1.2248480509233688)","(1.4352397317171228, -1.0440207203278176)","(1.3058350405912449, -0.012233422094218292)","(0.5472703322367278, -1.181889504487373)","(1.5014925790810214, -0.27677191661293227)","(-0.8164675485334425, -0.3877027212235332)","(-1.2132371659516863, 0.8445247103253997)","(-2.2284201558633177, -0.6942451599052722)","(-1.6631235689588872, 1.7264731002436482)",8.420904,2.3871074
105,334,8/29/2022 7:17:09,32.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,Rock,2,No,0,No,0.0,91.0,Never,0,Rarely,1,Sometimes,2,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Rarely,1,Rarely,1,Very frequently,3,Rarely,1,8.0,7.0,0.0,9.0,Improve,1.0,I understand.,2,3,2,0,1,0,2,2,0,3,2,2,2,2,0,2,3,0,"(0.7386613176153245, -1.2251571093211588)","(1.1881818668357194, 2.050233804865774)","(1.1690000480564118, -0.7912772457168047)","(0.7386613176153257, -1.2251571093211624)","(1.1881818668357191, 2.050233804865775)","(1.1690000480564118, -0.7912772457168047)","(0.7405691994020105, -1.1669478101641184)","(-0.7141053166575863, 2.2838075202671724)","(-0.4110947641273501, -1.0443808126872047)","(-1.5593032751185059, 0.6734426439492299)","(-0.054478073108781236, 2.7942245630681493)","(0.151716106485511, 3.2537728112324107)",40.333973,0.29820365
106,355,8/29/2022 10:23:46,25.0,Spotify,2,2.0,Yes,1.0,No,0.0,No,0.0,Lofi,15,Yes,1,Yes,1.0,91.0,Sometimes,2,Rarely,1,Sometimes,2,Rarely,1,Never,0,Very frequently,3,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Never,0,Sometimes,2,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,7.0,8.0,6.0,2.0,Improve,1.0,I understand.,2,1,0,0,3,0,0,0,3,1,0,2,2,0,3,3,2,1,"(0.014798703588031481, -1.0618849031046285)","(1.0633688878978793, -0.8392385918416061)","(0.874087794857311, -0.3294729094053044)","(0.014798703588035452, -1.0618849031046247)","(1.063368887897879, -0.8392385918416062)","(0.874087794857311, -0.3294729094053044)","(0.09618876083030038, -1.0544863535649625)","(1.1565896422144168, -0.2617277957052879)","(-0.4148408342429565, -0.5466186456548456)","(-0.5650952614427793, 0.8722576407828811)","(-1.3429950308784078, -0.15914728188542102)","(-0.5939048610715176, 1.092687384207615)",10.581646,4.460665
