,ID,Timestamp,Age,Primary streaming service,Primary streaming service Indicator,Hours per day,While working,While working Indicator,Instrumentalist,Instrumentalist Indicator,Composer,Composer Indicator,Fav genre,Fav genre Indicator,Exploratory,Exploratory Indicator,Foreign languages,Foreign languages Indicator,BPM,Frequency [Classical],Classical F Indicator,Frequency [Country],Country F Indicator,Frequency [EDM],EDM F Indicator,Frequency [Folk],Folk F Indicator,Frequency [Gospel],Gospel F Indicator,Frequency [Hip hop],Hip hop F Indicator,Frequency [Jazz],Jazz F Indicator,Frequency [K pop],K pop F Indicator,Frequency [Latin],Latin F Indicator,Frequency [Lofi],Lofi F Indicator,Frequency [Metal],Metal F Indicator,Frequency [Pop],Pop F Indicator,Frequency [R&B],R&B F Indicator,Frequency [Rap],Rap F Indicator,Frequency [Rock],Rock F Indicator,Frequency [Video game music],Video game music F Indicator,Anxiety,Depression,Insomnia,OCD,Music effects,Music Effects Number,Permissions,spec_cluster_habits,spec_cluster_mental,spec_cluster_all,prim_habits_cluster,prim_mental_cluster,prim_all_cluster,gmm_cluster_habits,gmm_cluster_mental,gmm_cluster_all,fcm_habits,fcm_mental,fcm_all,kmeans_habits,kmeans_mental,kmeans_all,spec_kmodes_habits,spec_kmodes_genre,spec_kmodes_all,SVD_habits,SVD_mental,SVD_all,PCA_habits,PCA_mental,PCA_all,ICA_habits,ICA_mental,ICA_all,MDS_habits,MDS_mental,MDS_all
206,308,8/29/2022 4:02:12,22.0,Spotify,2,1.0,Yes,1.0,No,0.0,No,0.0,Pop,10,No,0,No,0.0,108.0,Rarely,1,Rarely,1,Sometimes,2,Never,0,Never,0,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Very frequently,3,Never,0,Never,0,Rarely,1,Rarely,1,7.0,4.0,0.0,0.0,Improve,1.0,I understand.,2,7,2,1,1,7,0,1,1,4,1,4,0,1,6,6,5,1,"(np.float64(-0.13881140568714065), np.float64(-0.4582108888751667))","(np.float64(-0.8518633773377433), np.float64(-0.275191522570712))","(np.float64(-0.9446931310601482), np.float64(-1.0638294654821354))","(np.float64(-0.138811405687142), np.float64(-0.4582108888751709))","(np.float64(-0.8518633773377434), np.float64(-0.2751915225707189))","(np.float64(-0.9446931310601482), np.float64(-1.0638294654821354))","(np.float64(-0.085179568471547), np.float64(-0.4650135544476961))","(np.float64(-0.290286057020248), np.float64(-0.6072751698532526))","(np.float64(1.0303040328466626), np.float64(-0.6780742600026669))","(np.float64(-0.12581272943576266), np.float64(0.47742817442805097))","(np.float64(0.7718676976851171), np.float64(-0.5073098286084936))","(np.float64(1.1196384782968307), np.float64(-0.1221212481366897))"
207,657,9/13/2022 13:58:18,21.0,I do not use a streaming service.,6,0.5,No,0.0,No,0.0,No,0.0,Pop,10,No,0,No,0.0,108.0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,10.0,2.0,1.0,10.0,Worsen,-1.0,I understand.,0,5,0,0,4,6,5,2,0,1,2,2,3,7,7,8,4,1,"(np.float64(-1.9177731919352532), np.float64(-0.1688918853528655))","(np.float64(0.9798424338301089), np.float64(2.9363993857429365))","(np.float64(0.8345745081123873), np.float64(-1.9341980434761248))","(np.float64(-1.9177731919352488), np.float64(-0.16889188535287125))","(np.float64(0.979842433830111), np.float64(2.93639938574293))","(np.float64(0.8345745081123873), np.float64(-1.9341980434761248))","(np.float64(-1.6600277050805856), np.float64(-0.29989431415599727))","(np.float64(-1.425361849220962), np.float64(2.95737437737163))","(np.float64(0.2677146560031786), np.float64(-1.969211328464954))","(np.float64(2.0183884474084706), np.float64(0.9075503075688628))","(np.float64(0.5515355757882623), np.float64(3.2698149659597093))","(np.float64(0.6631062039753062), np.float64(3.453360639123373))"
208,729,10/30/2022 7:24:08,14.0,Other streaming service,5,7.0,Yes,1.0,Yes,1.0,No,0.0,Country,7,Yes,1,No,0.0,108.0,Rarely,1,Very frequently,3,Sometimes,2,Sometimes,2,Very frequently,3,Sometimes,2,Never,0,Never,0,Never,0,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,Sometimes,2,Very frequently,3,Rarely,1,7.0,3.0,1.0,2.0,Improve,1.0,I understand.,2,7,2,1,1,7,2,2,6,5,5,4,0,1,6,0,8,7,"(np.float64(1.3756589022597236), np.float64(-0.2748812705472261))","(np.float64(-0.5948150482519118), np.float64(0.353192576972323))","(np.float64(-0.18757599603060196), np.float64(-0.8918540607792665))","(np.float64(1.375658902259725), np.float64(-0.27488127054723444))","(np.float64(-0.5948150482519114), np.float64(0.3531925769723185))","(np.float64(-0.18757599603060196), np.float64(-0.8918540607792665))","(np.float64(1.2218308117652008), np.float64(-0.1785311212028268))","(np.float64(-0.5688963496123245), np.float64(0.046169815029069694))","(np.float64(0.4835285893362858), np.float64(-0.7428458596243142))","(np.float64(-1.5964931094600017), np.float64(-0.49079312222305177))","(np.float64(0.7872639342723449), np.float64(0.2408360714083581))","(np.float64(0.9960643864000839), np.float64(0.6415726396180242))"
209,92,8/28/2022 14:47:08,43.0,I do not use a streaming service.,6,6.0,Yes,1.0,Yes,1.0,Yes,1.0,Video game music,3,Yes,1,Yes,1.0,109.0,Sometimes,2,Rarely,1,Very frequently,3,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Very frequently,3,Rarely,1,Sometimes,2,Rarely,1,Never,0,Sometimes,2,Very frequently,3,5.0,4.0,8.0,3.0,No effect,0.0,I understand.,1,2,7,5,2,8,1,0,5,3,6,2,2,4,1,0,1,2,"(np.float64(0.48206892706635696), np.float64(-0.914456983001179))","(np.float64(0.38028243037766146), np.float64(-0.2490963362645974))","(np.float64(0.19039670550596438), np.float64(1.5828312078826356))","(np.float64(0.48206892706635274), np.float64(-0.9144569830011662))","(np.float64(0.3802824303776612), np.float64(-0.24909633626458952))","(np.float64(0.19039670550596438), np.float64(1.5828312078826356))","(np.float64(0.4923240356981644), np.float64(-0.875777879025532))","(np.float64(0.3793513531260123), np.float64(-0.04959860575267651))","(np.float64(-0.768500759553483), np.float64(1.3594939274572306))","(np.float64(-1.1612503612087455), np.float64(1.6102344333603693))","(np.float64(-0.6974951604743147), np.float64(0.18718468088745926))","(np.float64(0.7964240384321334), np.float64(2.0939276148866712))"
210,206,8/28/2022 21:14:51,26.0,Spotify,2,5.0,Yes,1.0,Yes,1.0,Yes,1.0,Metal,13,Yes,1,Yes,1.0,109.0,Sometimes,2,Rarely,1,Very frequently,3,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Sometimes,2,Never,0,Rarely,1,Very frequently,3,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,10.0,9.0,8.0,8.0,Improve,1.0,I understand.,2,0,0,1,0,4,2,0,0,0,2,2,4,2,7,0,1,6,"(np.float64(0.6544716465495504), np.float64(-0.5206319910846502))","(np.float64(3.0135388437696276), np.float64(0.6651046569849556))","(np.float64(2.95801643305396), np.float64(0.04648986812598554))","(np.float64(0.654471646549549), np.float64(-0.5206319910846502))","(np.float64(3.013538843769629), np.float64(0.6651046569849547))","(np.float64(2.95801643305396), np.float64(0.04648986812598554))","(np.float64(0.6118616701786183), np.float64(-0.47245100532493567))","(np.float64(1.2340102451358186), np.float64(1.8823752366080309))","(np.float64(-1.879898125457865), np.float64(-0.8119288903390072))","(np.float64(-0.9588430687274688), np.float64(0.04212485277761594))","(np.float64(-2.5606953645763295), np.float64(1.9059767410602555))","(np.float64(-2.3573474712328433), np.float64(2.401155862852844))"
211,383,8/29/2022 17:36:01,23.0,I do not use a streaming service.,6,2.0,Yes,1.0,No,0.0,No,0.0,Pop,10,Yes,1,Yes,1.0,109.0,Rarely,1,Very frequently,3,Never,0,Rarely,1,Very frequently,3,Very frequently,3,Sometimes,2,Rarely,1,Never,0,Rarely,1,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Sometimes,2,6.0,1.0,0.0,5.0,Improve,1.0,I understand.,2,5,0,1,4,6,0,2,2,4,5,1,0,7,6,0,3,4,"(np.float64(0.05943836870268333), np.float64(-0.45026082762325875))","(np.float64(-0.8775809168198864), np.float64(1.612620796922158))","(np.float64(-0.9037538079250392), np.float64(-1.2465809502157645))","(np.float64(0.059438368702682015), np.float64(-0.45026082762326186))","(np.float64(-0.8775809168198853), np.float64(1.612620796922155))","(np.float64(-0.9037538079250392), np.float64(-1.2465809502157645))","(np.float64(0.08717151014966532), np.float64(-0.4434639880551964))","(np.float64(-1.5723087379783207), np.float64(1.0092395401747913))","(np.float64(1.079450599163413), np.float64(-0.8531944102348854))","(np.float64(-0.26965281530063184), np.float64(0.33688023237758064))","(np.float64(1.5339821852700413), np.float64(1.1676872275733752))","(np.float64(1.6205443516829252), np.float64(0.7006239859180764))"
212,395,8/29/2022 19:44:49,19.0,Apple Music,1,8.0,Yes,1.0,No,0.0,Yes,1.0,Country,7,Yes,1,No,0.0,109.0,Never,0,Very frequently,3,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Rarely,1,Sometimes,2,Rarely,1,7.0,5.0,6.0,5.0,Improve,1.0,I understand.,2,0,3,3,2,1,2,0,0,5,6,2,6,6,0,4,4,0,"(np.float64(1.4812218902915106), np.float64(-0.3595231936526677))","(np.float64(0.9514862006816891), np.float64(0.46106690811712503))","(np.float64(1.2749167440442892), np.float64(-0.0133385218705473))","(np.float64(1.4812218902915113), np.float64(-0.359523193652672))","(np.float64(0.9514862006816895), np.float64(0.46106690811712714))","(np.float64(1.2749167440442892), np.float64(-0.0133385218705473))","(np.float64(1.320573301763887), np.float64(-0.2553976884629979))","(np.float64(0.22102840577827904), np.float64(0.8108089648385011))","(np.float64(-0.7965643810899766), np.float64(-0.3797694309022526))","(np.float64(-1.7511905519229758), np.float64(-0.562176666019273))","(np.float64(-0.7342695075573878), np.float64(0.9314232431667423))","(np.float64(-1.069253196866351), np.float64(1.5012143417136268))"
213,412,8/30/2022 1:01:09,12.0,Spotify,2,0.5,Yes,1.0,Yes,1.0,Yes,1.0,Classical,12,Yes,1,Yes,1.0,109.0,Very frequently,3,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,7.0,8.0,6.0,2.0,Improve,1.0,I understand.,2,6,7,2,3,0,0,6,4,4,3,2,0,0,5,0,5,0,"(np.float64(-0.01794715262041157), np.float64(-0.19516928304385778))","(np.float64(1.0633688878978789), np.float64(-0.8392385918416063))","(np.float64(1.0215205142025838), np.float64(-0.9534390900071341))","(np.float64(-0.017947152620411105), np.float64(-0.1951692830438694))","(np.float64(1.0633688878978786), np.float64(-0.8392385918416065))","(np.float64(1.0215205142025838), np.float64(-0.9534390900071341))","(np.float64(-0.00035317188631132674), np.float64(-0.19523216199523358))","(np.float64(1.1565896422144162), np.float64(-0.2617277957052904))","(np.float64(-0.25185537893159443), np.float64(-1.1467376760871728))","(np.float64(-0.01175817504559015), np.float64(0.5013293584112906))","(np.float64(-1.3429950308784089), np.float64(-0.159147281885413))","(np.float64(-1.1281655135706037), np.float64(0.5650800996731898))"
214,78,8/28/2022 14:08:57,19.0,Spotify,2,10.0,Yes,1.0,No,0.0,No,0.0,R&B,5,Yes,1,Yes,1.0,110.0,Never,0,Rarely,1,Very frequently,3,Never,0,Never,0,Sometimes,2,Never,0,Very frequently,3,Never,0,Never,0,Never,0,Rarely,1,Very frequently,3,Rarely,1,Never,0,Never,0,7.0,2.0,1.0,5.0,Improve,1.0,I understand.,2,5,3,3,4,1,2,2,0,5,5,3,6,7,0,5,7,5,"(np.float64(1.9241594838093088), np.float64(-0.32873419470921544))","(np.float64(-0.3443481766537867), np.float64(1.3885188360437133))","(np.float64(0.17017729791432287), np.float64(-0.4776184299588257))","(np.float64(1.92415948380931), np.float64(-0.328734194709219))","(np.float64(-0.34434817665378575), np.float64(1.38851883604371))","(np.float64(0.17017729791432287), np.float64(-0.4776184299588257))","(np.float64(1.7046253947060135), np.float64(-0.19430239433407578))","(np.float64(-1.1244418008903803), np.float64(1.0476245542791622))","(np.float64(0.08869640063958183), np.float64(-0.4759041385988172))","(np.float64(-2.273483160993016), np.float64(-0.8751729185957107))","(np.float64(0.9656217133031624), np.float64(1.1905409437257777))","(np.float64(1.3389848128968882), np.float64(2.3535778828770804))"
215,87,8/28/2022 14:29:29,14.0,Spotify,2,7.0,Yes,1.0,Yes,1.0,No,0.0,Jazz,4,No,0,No,0.0,110.0,Rarely,1,Never,0,Very frequently,3,Never,0,Never,0,Never,0,Very frequently,3,Never,0,Sometimes,2,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Very frequently,3,Very frequently,3,2.0,0.0,0.0,0.0,Improve,1.0,I understand.,2,1,1,1,8,2,2,1,1,5,4,1,0,5,2,0,4,1,"(np.float64(1.3754695991414603), np.float64(-0.2120670390691492))","(np.float64(-2.584542259647081), np.float64(0.18284559478226417))","(np.float64(-2.1002562903796242), np.float64(-0.6703363348134602))","(np.float64(1.3754695991414618), np.float64(-0.2120670390691574))","(np.float64(-2.5845422596470815), np.float64(0.18284559478226625))","(np.float64(-2.1002562903796242), np.float64(-0.6703363348134602))","(np.float64(1.2167395289883232), np.float64(-0.11610731023800112))","(np.float64(-1.5641663209493717), np.float64(-0.9649338085220703))","(np.float64(1.5959780839065156), np.float64(0.006967008332942876))","(np.float64(-1.5613447291093936), np.float64(-0.5488949844722883))","(np.float64(2.5256940992859045), np.float64(-0.8533178921598297))","(np.float64(2.4528988864666887), np.float64(-1.8166336878002407))"
216,94,8/28/2022 14:51:02,36.0,YouTube Music,3,1.0,Yes,1.0,No,0.0,No,0.0,Rock,2,Yes,1,No,0.0,110.0,Sometimes,2,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Very frequently,3,Never,0,6.0,2.0,3.0,1.0,Improve,1.0,I understand.,1,7,2,1,1,7,2,3,2,4,1,4,2,1,6,6,0,2,"(np.float64(-0.4634044610585344), np.float64(-0.7194686026478133))","(np.float64(-0.8205423152847038), np.float64(-0.0416408483158183))","(np.float64(-1.1490368840507956), np.float64(0.06235234055435138))","(np.float64(-0.4634044610585382), np.float64(-0.7194686026478071))","(np.float64(-0.8205423152847039), np.float64(-0.041640848315818074))","(np.float64(-1.1490368840507956), np.float64(0.06235234055435138))","(np.float64(-0.34790091142726626), np.float64(-0.7470462112672183))","(np.float64(-0.42964951644167093), np.float64(-0.392301976443117))","(np.float64(0.6972868661159257), np.float64(0.38724856689820875))","(np.float64(0.052045153871284354), np.float64(1.1739456852665162))","(np.float64(0.8560672900847234), np.float64(-0.16672564164405315))","(np.float64(1.3944759162040954), np.float64(-0.009163267079435624))"
217,131,8/28/2022 17:33:12,29.0,YouTube Music,3,1.0,Yes,1.0,Yes,1.0,No,0.0,Video game music,3,Yes,1,No,0.0,110.0,Sometimes,2,Never,0,Never,0,Rarely,1,Sometimes,2,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Rarely,1,Never,0,Sometimes,2,Sometimes,2,6.0,6.0,1.0,2.0,Improve,1.0,I understand.,2,6,2,1,1,0,2,4,2,4,0,4,0,3,6,7,5,1,"(np.float64(-0.30120258493196916), np.float64(-0.5574326300224516))","(np.float64(-0.25288666296658086), np.float64(-0.058660557243029765))","(np.float64(-0.4784967477846217), np.float64(-0.5454751721267858))","(np.float64(-0.30120258493197166), np.float64(-0.5574326300224505))","(np.float64(-0.25288666296658063), np.float64(-0.05866055724303473))","(np.float64(-0.4784967477846217), np.float64(-0.5454751721267858))","(np.float64(-0.21908588133784535), np.float64(-0.5748179773750444))","(np.float64(-0.10164241059779448), np.float64(-0.16041775316272167))","(np.float64(0.5245787649480883), np.float64(-0.34938032782831624))","(np.float64(0.00040688802862097896), np.float64(0.7159950730555239))","(np.float64(0.2070131520997958), np.float64(-0.1473398437127561))","(np.float64(0.5905043230369378), np.float64(0.11924361100534182))"
218,293,8/29/2022 2:49:37,16.0,Spotify,2,2.5,No,0.0,Yes,1.0,Yes,1.0,Metal,13,Yes,1,No,0.0,110.0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Never,0,Never,0,Rarely,1,Very frequently,3,Never,0,Never,0,Rarely,1,Very frequently,3,Sometimes,2,5.0,3.0,3.0,1.0,Improve,1.0,I understand.,0,7,2,0,6,7,5,3,2,1,1,4,3,1,6,4,4,0,"(np.float64(-1.3590717670290402), np.float64(0.009044209776312201))","(np.float64(-0.8409634888136878), np.float64(-0.18851474164383))","(np.float64(-0.743284864100729), np.float64(-0.824219039932858))","(np.float64(-1.3590717670290342), np.float64(0.009044209776303535))","(np.float64(-0.8409634888136881), np.float64(-0.18851474164382911))","(np.float64(-0.743284864100729), np.float64(-0.824219039932858))","(np.float64(-1.1865105177487403), np.float64(-0.08456694747882382))","(np.float64(-0.3424113625852223), np.float64(-0.5278075233412095))","(np.float64(0.8053965008870911), np.float64(-0.5220687983644203))","(np.float64(1.9071408339928846), np.float64(0.608131353956641))","(np.float64(0.7379039022034283), np.float64(-0.4022180520301242))","(np.float64(0.7744103510257435), np.float64(-0.2931928248760696))"
219,314,8/29/2022 4:42:51,32.0,I do not use a streaming service.,6,1.0,No,0.0,No,0.0,No,0.0,Rock,2,No,0,No,0.0,110.0,Rarely,1,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Rarely,1,Never,0,Sometimes,2,Very frequently,3,Rarely,1,Never,0,Very frequently,3,Never,0,8.0,4.0,3.0,0.0,No effect,0.0,I understand.,0,6,2,0,1,7,4,1,1,1,0,4,3,1,6,2,4,1,"(np.float64(-2.0620930962688866), np.float64(-0.36086014005639644))","(np.float64(-0.19888140093319984), np.float64(-0.5787970896437168))","(np.float64(-0.48937046879461), np.float64(-0.14707062563760484))","(np.float64(-2.0620930962688844), np.float64(-0.36086014005639383))","(np.float64(-0.1988814009332001), np.float64(-0.5787970896437207))","(np.float64(-0.48937046879461), np.float64(-0.14707062563760484))","(np.float64(-1.770893172986769), np.float64(-0.5006440235743889))","(np.float64(0.2777515990612665), np.float64(-0.5854261681020771))","(np.float64(0.36813274279496927), np.float64(0.009774090936751594))","(np.float64(1.9744161716630935), np.float64(1.1737814699253175))","(np.float64(0.018475661960392274), np.float64(-0.46220670263306335))","(np.float64(0.6902616011214024), np.float64(0.1388942449033354))"
220,346,8/29/2022 9:13:14,19.0,Spotify,2,3.0,Yes,1.0,No,0.0,No,0.0,K pop,6,Yes,1,Yes,1.0,110.0,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Never,0,Rarely,1,Never,0,Very frequently,3,Never,0,Sometimes,2,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Very frequently,3,Never,0,6.0,0.0,3.0,0.0,Improve,1.0,I understand.,2,7,2,1,1,7,0,1,1,4,1,1,0,1,6,5,2,2,"(np.float64(0.37354662604005395), np.float64(-0.3265707859246638))","(np.float64(-1.3267724244341128), np.float64(-0.07760715363771707))","(np.float64(-1.232164174007186), np.float64(-0.6615660802624358))","(np.float64(0.3735466260400536), np.float64(-0.3265707859246695))","(np.float64(-1.326772424434113), np.float64(-0.07760715363771588))","(np.float64(-1.232164174007186), np.float64(-0.6615660802624358))","(np.float64(0.3515333245490354), np.float64(-0.2988942545968581))","(np.float64(-0.6878194487000807), np.float64(-0.6431911980171658))","(np.float64(1.046279728731144), np.float64(-0.23566529823515778))","(np.float64(-0.5041449582074139), np.float64(0.08448558434700795))","(np.float64(1.6234943384312746), np.float64(-0.05376305193537875))","(np.float64(1.4966734698036184), np.float64(-0.4058078581737873))"
221,436,8/31/2022 9:42:46,15.0,Spotify,2,6.0,Yes,1.0,Yes,1.0,No,0.0,K pop,6,Yes,1,Yes,1.0,110.0,Sometimes,2,Never,0,Rarely,1,Sometimes,2,Never,0,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,Sometimes,2,Rarely,1,Very frequently,3,Sometimes,2,Rarely,1,Very frequently,3,Never,0,8.0,8.0,7.0,10.0,No effect,0.0,I understand.,2,0,3,1,0,4,2,0,0,0,2,2,0,2,7,0,8,9,"(np.float64(1.130781780013486), np.float64(-0.2349059767606935))","(np.float64(2.5664712513375747), np.float64(1.4767134373975388))","(np.float64(2.7851670093408267), np.float64(-0.6317190745895342))","(np.float64(1.1307817800134872), np.float64(-0.2349059767607012))","(np.float64(2.566471251337576), np.float64(1.47671343739754))","(np.float64(2.7851670093408267), np.float64(-0.6317190745895342))","(np.float64(1.0050385146674092), np.float64(-0.15565303797442345))","(np.float64(0.4396818635259426), np.float64(2.387968171987912))","(np.float64(-1.4931964783119895), np.float64(-1.368109043788084))","(np.float64(-1.2836930571641743), np.float64(-0.38783986316602365))","(np.float64(-1.9603923976256177), np.float64(2.5174531603912444))","(np.float64(-2.218745941516122), np.float64(2.7679316284863424))"
222,440,8/31/2022 15:48:18,23.0,Spotify,2,0.5,No,0.0,No,0.0,Yes,1.0,Hip hop,9,Yes,1,Yes,1.0,110.0,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,Very frequently,3,Rarely,1,Very frequently,3,Rarely,1,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,Very frequently,3,Rarely,1,Sometimes,2,7.0,7.0,6.0,5.0,Improve,1.0,I understand.,0,0,7,0,2,6,5,0,4,1,6,2,3,6,7,3,1,9,"(np.float64(-1.9643058882325353), np.float64(-0.15237364605346337))","(np.float64(1.313835759496004), np.float64(0.19608766722978396))","(np.float64(1.0919048110238927), np.float64(-0.546004301827648))","(np.float64(-1.964305888232531), np.float64(-0.15237364605346754))","(np.float64(1.3138357594960046), np.float64(0.19608766722978482))","(np.float64(1.0919048110238927), np.float64(-0.546004301827648))","(np.float64(-1.7019232821687262), np.float64(-0.2866785700175069))","(np.float64(0.6010441909363604), np.float64(0.7397269435448023))","(np.float64(-0.4631206671973061), np.float64(-0.8029590393837032))","(np.float64(2.0204660622771065), np.float64(0.8909551098881187))","(np.float64(-1.1551750321840932), np.float64(0.8509391618865547))","(np.float64(-0.7130855348470572), np.float64(1.2325503408348453))"
223,512,09/02/2022 4:56,43.0,Other streaming service,5,1.0,No,0.0,No,0.0,No,0.0,Country,7,No,0,No,0.0,110.0,Never,0,Very frequently,3,Never,0,Never,0,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Rarely,1,Never,0,5.0,1.0,1.0,1.0,Improve,1.0,I understand.,0,7,2,6,8,3,4,3,2,1,1,1,5,1,4,3,4,1,"(np.float64(-2.316981758753489), np.float64(-0.6154880970391078))","(np.float64(-1.5042370632736042), np.float64(0.2884577258817418))","(np.float64(-1.9162940565050894), np.float64(0.23444888419329823))","(np.float64(-2.3169817587534887), np.float64(-0.6154880970390971))","(np.float64(-1.5042370632736042), np.float64(0.28845772588174096))","(np.float64(-1.9162940565050894), np.float64(0.23444888419329823))","(np.float64(-1.9733167916987162), np.float64(-0.7712883911192336))","(np.float64(-1.0326057593159188), np.float64(-0.40464847904746554))","(np.float64(1.1094230099951858), np.float64(0.7624109137428526))","(np.float64(2.09805854526478), np.float64(1.7795200890385539))","(np.float64(1.5881657570478367), np.float64(-0.19296581597717755))","(np.float64(2.487934286080935), np.float64(-0.26871093567580856))"
224,588,09/06/2022 15:53,18.0,Spotify,2,10.0,Yes,1.0,Yes,1.0,Yes,1.0,Rock,2,Yes,1,No,0.0,110.0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Very frequently,3,Very frequently,3,Sometimes,2,Sometimes,2,Very frequently,3,Never,0,10.0,10.0,6.0,6.0,Improve,1.0,I understand.,2,0,3,3,0,1,2,0,0,5,2,2,6,2,0,4,1,6,"(np.float64(1.947331180398818), np.float64(-0.305586198619878))","(np.float64(2.6060285068609956), np.float64(0.14271717076103582))","(np.float64(3.009554434131129), np.float64(0.07307779162872287))","(np.float64(1.9473311803988194), np.float64(-0.30558619861988234))","(np.float64(2.6060285068609956), np.float64(0.14271717076103108))","(np.float64(3.009554434131129), np.float64(0.07307779162872287))","(np.float64(1.723027541861645), np.float64(-0.16969836092090806))","(np.float64(1.3575312319415878), np.float64(1.2549687632257311))","(np.float64(-1.9232170046292925), np.float64(-0.8030399303779726))","(np.float64(-2.280353523538505), np.float64(-0.8955009992483796))","(np.float64(-2.3875427975927117), np.float64(1.3432454123604403))","(np.float64(-3.1255854851853986), np.float64(2.036510762175408))"
225,598,09/08/2022 18:14,22.0,YouTube Music,3,8.0,Yes,1.0,Yes,1.0,No,0.0,Metal,13,Yes,1,No,0.0,110.0,Sometimes,2,Never,0,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Never,0,Never,0,Never,0,Very frequently,3,Rarely,1,Rarely,1,Never,0,Very frequently,3,Very frequently,3,10.0,7.0,8.0,6.0,Improve,1.0,I understand.,2,0,3,3,0,1,2,0,0,5,2,2,6,2,0,7,1,6,"(np.float64(1.411612148963851), np.float64(-0.3975600661816414))","(np.float64(2.3634281842851244), np.float64(0.3281928054538166))","(np.float64(2.5804814229295294), np.float64(0.24962377030377086))","(np.float64(1.4116121489638511), np.float64(-0.3975600661816434))","(np.float64(2.3634281842851244), np.float64(0.3281928054538167))","(np.float64(2.5804814229295294), np.float64(0.24962377030377086))","(np.float64(1.2628212189085535), np.float64(-0.29799788322008813))","(np.float64(1.0976861657770802), np.float64(1.309514772166234))","(np.float64(-1.7256510993532503), np.float64(-0.5214773650608004))","(np.float64(-1.7230711798109068), np.float64(-0.5342516001835458))","(np.float64(-2.136564596031305), np.float64(1.3678897962184469))","(np.float64(-2.4063825593553476), np.float64(1.9588525249342323))"
226,615,09/12/2022 12:09,25.0,Spotify,2,3.0,Yes,1.0,No,0.0,No,0.0,Rock,2,No,0,No,0.0,110.0,Never,0,Rarely,1,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Rarely,1,Never,0,Never,0,Very frequently,3,Sometimes,2,8.0,9.0,4.0,10.0,Improve,1.0,I understand.,2,0,0,1,0,4,2,0,0,4,2,2,0,2,7,6,4,1,"(np.float64(0.23451644650299808), np.float64(-0.4654587624606881))","(np.float64(2.29626000727633), np.float64(1.6622136569112143))","(np.float64(2.181540522016819), np.float64(-0.7445611577267984))","(np.float64(0.2345164465029966), np.float64(-0.4654587624606894))","(np.float64(2.2962600072763317), np.float64(1.6622136569112105))","(np.float64(2.181540522016819), np.float64(-0.7445611577267984))","(np.float64(0.24112044161524604), np.float64(-0.44651845507586435))","(np.float64(0.1644218387460609), np.float64(2.43054269584113))","(np.float64(-1.0672155750416699), np.float64(-1.294781954842776))","(np.float64(-0.41903722455391357), np.float64(0.26796549704531686))","(np.float64(-1.534505645178111), np.float64(2.7366771971641404))","(np.float64(-1.5115021899403152), np.float64(2.8579156274800575))"
